xpoints,ypoints,xaep1,xaep100,yaep1,yaep100
-1936.8,-1936.8,468.41424206653585,460.5242709824711,467.0921104592731,458.86861209603
-1935.8,-1935.8,468.4184283583188,460.52346480023044,467.06945072334736,458.86177017557577
-1934.8,-1934.8,468.42199198206225,460.52271600035544,467.04633641715765,458.85497593404847
-1933.8,-1933.8,468.42546306217764,460.52204116472706,467.02298273063576,458.84798321308364
-1932.8,-1932.8,468.4286839738901,460.5212772254725,466.9996437112478,458.8409820266142
-1931.8,-1931.8,468.4315486948583,460.5203315875658,466.97639538964137,458.83407904511114
-1930.8,-1930.8,468.4342477057193,460.51921424857875,466.9534014987136,458.8272582964307
-1929.8,-1929.8,468.43662278981554,460.51801045197425,466.9303571159343,458.82056379368356
-1928.8,-1928.8,468.4386039708522,460.5165599011083,466.8675675263728,458.8139678683688
-1927.8,-1927.8,468.4402696065596,460.51492318807107,466.8474601172369,458.80744413944154
-1926.8,-1926.8,468.44132444048347,460.51316097235093,466.8283283336898,458.8010619308442
-1925.8,-1925.8,468.4419271207768,460.5111472230966,466.81035830805575,458.7947793384683
-1924.8,-1924.8,468.4421313202475,460.50875487962287,466.7931219477449,458.78858756850394
-1923.8,-1923.8,468.4419458692718,460.5060582409389,466.7772388403962,458.78236658602736
-1922.8,-1922.8,468.4409701278295,460.5030971501449,466.7629558526767,458.77634926676245
-1921.8,-1921.8,468.4392377621917,460.4997260538224,466.74996828538326,458.7705372880677
-1920.8,-1920.8,468.4370177293156,460.4960739094898,466.7387079887003,458.76484860107456
-1919.8,-1919.8,468.43416992019536,460.49214547462844,466.7298024598511,458.7593831197528
-1918.8,-1918.8,468.4308986547695,460.4879443015842,466.7237446950787,458.754017719228
-1917.8,-1917.8,468.4270414185429,460.4834093131923,466.72083862219455,458.74877882884476
-1916.8,-1916.8,468.4224804594286,460.47859790332325,466.721595017139,458.74368726119616
-1915.8,-1915.8,468.41721928629306,460.47349487719646,466.7269805497848,458.7388390137743
-1914.8,-1914.8,468.411100474488,460.468014152034,466.738664995445,458.7341558344526
-1913.8,-1913.8,468.4044000999027,460.46221459919246,466.7174946423636,458.7293327408352
-1912.8,-1912.8,468.3969791620972,460.4561604598269,466.75156675381976,458.72474479563687
-1911.8,-1911.8,468.38898486092273,460.4497698283968,466.80083515333973,458.72038155511444
-1910.8,-1910.8,468.38039946191566,460.4429309217708,466.8026880993504,458.71613233643825
-1909.8,-1909.8,468.3712472872992,460.43577311032806,466.80295544575984,458.71198569353004
-1908.8,-1908.8,468.3615779840378,460.42833946327687,466.803461108261,458.7080988805702
-1907.8,-1907.8,468.3511643531694,460.4205368076503,466.8047064073633,458.70437420702604
-1906.8,-1906.8,468.34024306883435,460.41241404627743,466.80660557056075,458.7006769143669
-1905.8,-1905.8,468.3289459619196,460.40388414802146,466.79571540113716,458.69703867818413
-1904.8,-1904.8,468.3169979560712,460.39496640600737,466.8032194478745,458.6936125698575
-1903.8,-1903.8,468.30451163589896,460.38568885953873,466.8114361632206,458.6903581548152
-1902.8,-1902.8,468.291505215116,460.37611693031874,466.45731098597366,458.68705966737383
-1901.8,-1901.8,468.27796813675957,460.36618222286427,466.46829988956324,458.68389456580576
-1900.8,-1900.8,468.26414590502543,460.3556937769986,466.47924864496446,458.68087422217894
-1899.8,-1899.8,468.24998354515793,460.34483044356944,466.490019902246,458.6779203637195
-1898.8,-1898.8,468.23542395551954,460.3336773694495,466.5006981117168,458.67497778934205
-1897.8,-1897.8,468.2207662881163,460.3221918120188,466.5110371449613,458.6720444508489
-1896.8,-1896.8,468.2059781495294,460.3103889047681,466.52124278776154,458.66915279746274
-1895.8,-1895.8,468.191252249144,460.29845277532434,466.53092606880153,458.66619977871363
-1894.8,-1894.8,468.17708646757393,460.28660548734535,466.54043374430665,458.66323591987793
-1893.8,-1893.8,468.16341574546476,460.2749129767244,466.54945183151403,458.66014559612387
-1892.8,-1892.8,468.1498503923639,460.26336265130595,466.55815896054787,458.6568106743265
-1891.8,-1891.8,468.13596978943417,460.25179010890525,466.566319398053,458.6534034337331
-1890.8,-1890.8,468.12181509174064,460.24050548590316,466.5740028252817,458.6499139403235
-1889.8,-1889.8,468.107771687747,460.22899930379214,466.58101134585263,458.6461669802609
-1888.8,-1888.8,468.0941254513929,460.2172167555039,466.5874394476506,458.6421637480122
-1887.8,-1887.8,468.0809102992805,460.2053048582743,466.5930239802222,458.63789409961873
-1886.8,-1886.8,468.0653514378827,460.19326784199336,466.59803422807914,458.63310548281027
-1885.8,-1885.8,468.049267374668,460.1810721015621,466.60228081604237,458.62716741994547
